STRAATNAAM;POSTCODE6;POSTCODE4;HSNR_laag;HSNR_hoog;HSNR_aant;BUURTCODE;BUURTNAAM;WIJKCODE;WIJKNAAM;STADSDEELCODE;STADSDEELNAAM;x_rd;y_rd;latitude;longitude
Heliasweg;5625BT;5625.0;2;42;21.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160661.786;386685.460048;51.469202235;5.46868480157
Heliconstraat;5631HK;5631.0;73;101;15.0;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;161941.04528;385954.06285;51.4626136299;5.487081288
Helmerslaan;5615JA;5615.0;1;33;18.0;711;Schrijversbuurt;71;Wijk Rozenknopje;7;Stadsdeel Gestel;161002.733967;382407.66585;51.430747053;5.47351865024
Hemelrijken;5612LC;5612.0;95;169;40.0;412;Hemelrijken;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160954.40936;384142.11855;51.4463379869;5.47285311145
Hemelrijken;5612LG;5612.0;84;104;18.0;412;Hemelrijken;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160839.9794;384240.413706;51.4472227282;5.47120870892
Hemelrijken;5612WP;5612.0;205;247;22.0;412;Hemelrijken;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160998.85985;384042.18486;51.4454392444;5.47349081154
Hendrik Casimirstraat;5616BK;5616.0;2;30;16.0;611;Eliasterrein, Vonderkwartier;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;160468.76055;383059.418887;51.4366108879;5.4658503868
Hendrik Staetslaan;5622HM;5622.0;67;125;29.0;424;Mensfort;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160386.144932;386068.2098;51.4636566938;5.46470834427
Hendrik Staetslaan;5622HN;5622.0;2;14;7.0;423;Barrier;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160231.721968;385926.6181;51.4623854325;5.46248406995
Hendrik Staetslaan;5622HN;5622.0;20;56;18.0;424;Mensfort;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160231.721968;385926.6181;51.4623854325;5.46248406995
